Domain,Area,Element,Item,Year,Unit,Value
"Energy Use","Asia","Use in agriculture","Total Energy","1970","Terajoule","485553.6469"
"Energy Use","Asia","Use in agriculture","Total Energy","1971","Terajoule","505079.9259"
"Energy Use","Asia","Use in agriculture","Total Energy","1972","Terajoule","542115.0262"
"Energy Use","Asia","Use in agriculture","Total Energy","1973","Terajoule","629542.4124"
"Energy Use","Asia","Use in agriculture","Total Energy","1974","Terajoule","669501.4165"
"Energy Use","Asia","Use in agriculture","Total Energy","1975","Terajoule","695238.5522"
"Energy Use","Asia","Use in agriculture","Total Energy","1976","Terajoule","740900.3069"
"Energy Use","Asia","Use in agriculture","Total Energy","1977","Terajoule","815726.1212"
"Energy Use","Asia","Use in agriculture","Total Energy","1978","Terajoule","820687.5379"
"Energy Use","Asia","Use in agriculture","Total Energy","1979","Terajoule","974320.8132"
"Energy Use","Asia","Use in agriculture","Total Energy","1980","Terajoule","1077468.1774"
"Energy Use","Asia","Use in agriculture","Total Energy","1981","Terajoule","1132663.0084"
"Energy Use","Asia","Use in agriculture","Total Energy","1982","Terajoule","1366336.5777"
"Energy Use","Asia","Use in agriculture","Total Energy","1983","Terajoule","1426313.0603"
"Energy Use","Asia","Use in agriculture","Total Energy","1984","Terajoule","1469602.5936"
"Energy Use","Asia","Use in agriculture","Total Energy","1985","Terajoule","1516898.365"
"Energy Use","Asia","Use in agriculture","Total Energy","1986","Terajoule","2470986.6737"
"Energy Use","Asia","Use in agriculture","Total Energy","1987","Terajoule","2579216.1645"
"Energy Use","Asia","Use in agriculture","Total Energy","1988","Terajoule","2791808.9855"
"Energy Use","Asia","Use in agriculture","Total Energy","1989","Terajoule","2864556.0387"
"Energy Use","Asia","Use in agriculture","Total Energy","1990","Terajoule","3645120.5776"
"Energy Use","Asia","Use in agriculture","Total Energy","1991","Terajoule","3719772.3333"
"Energy Use","Asia","Use in agriculture","Total Energy","1992","Terajoule","4000567.0808"
"Energy Use","Asia","Use in agriculture","Total Energy","1993","Terajoule","3944039.3446"
"Energy Use","Asia","Use in agriculture","Total Energy","1994","Terajoule","4054601.9206"
"Energy Use","Asia","Use in agriculture","Total Energy","1995","Terajoule","4221264.0902"
"Energy Use","Asia","Use in agriculture","Total Energy","1996","Terajoule","4299283.7322"
"Energy Use","Asia","Use in agriculture","Total Energy","1997","Terajoule","4299994.9732"
"Energy Use","Asia","Use in agriculture","Total Energy","1998","Terajoule","4256092.3994"
"Energy Use","Asia","Use in agriculture","Total Energy","1999","Terajoule","4190946.5565"
"Energy Use","Asia","Use in agriculture","Total Energy","2000","Terajoule","4133683.9048"
"Energy Use","Asia","Use in agriculture","Total Energy","2001","Terajoule","4073454.2013"
"Energy Use","Asia","Use in agriculture","Total Energy","2002","Terajoule","3749759.7389"
"Energy Use","Asia","Use in agriculture","Total Energy","2003","Terajoule","4014668.2314"
"Energy Use","Asia","Use in agriculture","Total Energy","2004","Terajoule","4233659.5719"
"Energy Use","Asia","Use in agriculture","Total Energy","2005","Terajoule","4342822.1425"
"Energy Use","Asia","Use in agriculture","Total Energy","2006","Terajoule","4555524.8683"
"Energy Use","Asia","Use in agriculture","Total Energy","2007","Terajoule","4230424.8704"
"Energy Use","Asia","Use in agriculture","Total Energy","2008","Terajoule","4312201.2318"
"Energy Use","Asia","Use in agriculture","Total Energy","2009","Terajoule","4327000.1723"
"Energy Use","Asia","Use in agriculture","Total Energy","2010","Terajoule","4430229.8675"
"Energy Use","Asia","Use in agriculture","Total Energy","2011","Terajoule","4547865.3409"
"Energy Use","Asia","Use in agriculture","Total Energy","2012","Terajoule","4550240.9569"
"Energy Use","Asia","Use in agriculture","Total Energy","2013","Terajoule","4977840.1775"
"Energy Use","Asia","Use in agriculture","Total Energy","2014","Terajoule","4928468.0055"
"Energy Use","Asia","Use in agriculture","Total Energy","2015","Terajoule","4489009.0968"
"Energy Use","Asia","Use in agriculture","Total Energy","2016","Terajoule","4525849.2554"
"Energy Use","Asia","Use in agriculture","Total Energy","2017","Terajoule","4575312.0447"
"Energy Use","Asia","Use in agriculture","Total Energy","2018","Terajoule","4548907.3154"
"Energy Use","Asia","Use in agriculture","Total Energy","2019","Terajoule","4532839.6376"
"Energy Use","Asia","Use in agriculture","Total Energy","2020","Terajoule","4532839.6376"
