Domain,Area,Element,Item,Year,Unit,Value
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient nitrogen N (total)","1961","kg/ha","4.67"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient nitrogen N (total)","1962","kg/ha","5.5"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient nitrogen N (total)","1963","kg/ha","6.14"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient nitrogen N (total)","1964","kg/ha","7.07"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient nitrogen N (total)","1965","kg/ha","8.6"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient nitrogen N (total)","1966","kg/ha","11.36"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient nitrogen N (total)","1967","kg/ha","11.08"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient nitrogen N (total)","1968","kg/ha","12.38"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient nitrogen N (total)","1969","kg/ha","14.23"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient nitrogen N (total)","1970","kg/ha","16.44"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient nitrogen N (total)","1971","kg/ha","17.55"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient nitrogen N (total)","1972","kg/ha","19.63"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient nitrogen N (total)","1973","kg/ha","21.38"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient nitrogen N (total)","1974","kg/ha","19.29"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient nitrogen N (total)","1975","kg/ha","24.84"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient nitrogen N (total)","1976","kg/ha","24.55"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient nitrogen N (total)","1977","kg/ha","31.7"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient nitrogen N (total)","1978","kg/ha","38.41"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient nitrogen N (total)","1979","kg/ha","41.67"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient nitrogen N (total)","1980","kg/ha","45.91"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient nitrogen N (total)","1981","kg/ha","46.16"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient nitrogen N (total)","1982","kg/ha","48.06"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient nitrogen N (total)","1983","kg/ha","53.19"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient nitrogen N (total)","1984","kg/ha","57"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient nitrogen N (total)","1985","kg/ha","54.59"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient nitrogen N (total)","1986","kg/ha","56.63"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient nitrogen N (total)","1987","kg/ha","61.47"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient nitrogen N (total)","1988","kg/ha","68.18"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient nitrogen N (total)","1989","kg/ha","69.5"
