Domain,Area,Element,Item,Year,Unit,Value
"Macro Indicators","Asia","Value US$","Gross Domestic Product","1970","millions","510164.080943"
"Macro Indicators","Asia","Value US$","Gross Domestic Product","1971","millions","560963.544836"
"Macro Indicators","Asia","Value US$","Gross Domestic Product","1972","millions","679053.093204"
"Macro Indicators","Asia","Value US$","Gross Domestic Product","1973","millions","887179.5676"
"Macro Indicators","Asia","Value US$","Gross Domestic Product","1974","millions","1076423.951847"
"Macro Indicators","Asia","Value US$","Gross Domestic Product","1975","millions","1183325.923337"
"Macro Indicators","Asia","Value US$","Gross Domestic Product","1976","millions","1321913.686238"
"Macro Indicators","Asia","Value US$","Gross Domestic Product","1977","millions","1575937.487196"
"Macro Indicators","Asia","Value US$","Gross Domestic Product","1978","millions","1991934.217949"
"Macro Indicators","Asia","Value US$","Gross Domestic Product","1979","millions","2246672.413488"
"Macro Indicators","Asia","Value US$","Gross Domestic Product","1980","millions","2485914.929955"
"Macro Indicators","Asia","Value US$","Gross Domestic Product","1981","millions","2681276.448955"
"Macro Indicators","Asia","Value US$","Gross Domestic Product","1982","millions","2594226.410291"
"Macro Indicators","Asia","Value US$","Gross Domestic Product","1983","millions","2747511.11849"
"Macro Indicators","Asia","Value US$","Gross Domestic Product","1984","millions","2855023.588233"
"Macro Indicators","Asia","Value US$","Gross Domestic Product","1985","millions","2831255.620065"
"Macro Indicators","Asia","Value US$","Gross Domestic Product","1986","millions","3528545.013791"
"Macro Indicators","Asia","Value US$","Gross Domestic Product","1987","millions","4146330.512088"
"Macro Indicators","Asia","Value US$","Gross Domestic Product","1988","millions","4930787.360839"
"Macro Indicators","Asia","Value US$","Gross Domestic Product","1989","millions","5093666.072232"
"Macro Indicators","Asia","Value US$","Gross Domestic Product","1990","millions","5410464.581031"
"Macro Indicators","Asia","Value US$","Gross Domestic Product","1991","millions","5962310.850266"
"Macro Indicators","Asia","Value US$","Gross Domestic Product","1992","millions","6515038.657554"
"Macro Indicators","Asia","Value US$","Gross Domestic Product","1993","millions","7327009.417571"
"Macro Indicators","Asia","Value US$","Gross Domestic Product","1994","millions","7964131.155708"
"Macro Indicators","Asia","Value US$","Gross Domestic Product","1995","millions","9041455.68135"
"Macro Indicators","Asia","Value US$","Gross Domestic Product","1996","millions","8796829.01015"
"Macro Indicators","Asia","Value US$","Gross Domestic Product","1997","millions","8466442.143417"
"Macro Indicators","Asia","Value US$","Gross Domestic Product","1998","millions","7694907.907225"
"Macro Indicators","Asia","Value US$","Gross Domestic Product","1999","millions","8555721.07398"
"Macro Indicators","Asia","Value US$","Gross Domestic Product","2000","millions","9246223.828308"
"Macro Indicators","Asia","Value US$","Gross Domestic Product","2001","millions","8672173.945179"
"Macro Indicators","Asia","Value US$","Gross Domestic Product","2002","millions","8880903.951801"
"Macro Indicators","Asia","Value US$","Gross Domestic Product","2003","millions","9825165.95476"
"Macro Indicators","Asia","Value US$","Gross Domestic Product","2004","millions","11092168.223733"
"Macro Indicators","Asia","Value US$","Gross Domestic Product","2005","millions","12106036.952751"
"Macro Indicators","Asia","Value US$","Gross Domestic Product","2006","millions","13132706.060376"
"Macro Indicators","Asia","Value US$","Gross Domestic Product","2007","millions","15004207.869796"
"Macro Indicators","Asia","Value US$","Gross Domestic Product","2008","millions","17367432.829498"
"Macro Indicators","Asia","Value US$","Gross Domestic Product","2009","millions","17657042.413023"
"Macro Indicators","Asia","Value US$","Gross Domestic Product","2010","millions","20624660.6687"
"Macro Indicators","Asia","Value US$","Gross Domestic Product","2011","millions","23944316.731938"
"Macro Indicators","Asia","Value US$","Gross Domestic Product","2012","millions","25380662.945052"
"Macro Indicators","Asia","Value US$","Gross Domestic Product","2013","millions","25781208.103508"
"Macro Indicators","Asia","Value US$","Gross Domestic Product","2014","millions","26613170.153634"
"Macro Indicators","Asia","Value US$","Gross Domestic Product","2015","millions","26275563.174051"
"Macro Indicators","Asia","Value US$","Gross Domestic Product","2016","millions","27333443.032255"
"Macro Indicators","Asia","Value US$","Gross Domestic Product","2017","millions","29296561.31702"
"Macro Indicators","Asia","Value US$","Gross Domestic Product","2018","millions","31672024.768218"
"Macro Indicators","Asia","Value US$","Gross Domestic Product","2019","millions","32554100.475615"
"Macro Indicators","Asia","Value US$","Gross Domestic Product","2020","millions","32402470.630126"
